Level1	Level2	Level3	GeneID	RelatedGenes
Offensive virulence factors	Adherence	-	csgA	VFG000458
Offensive virulence factors	Adherence	-	pebA	VFG001983
Offensive virulence factors	Adherence	-	fbsA	VFG001796
Offensive virulence factors	Adherence	-	lpfC	VFG000454
Offensive virulence factors	Adherence	-	fliI	VFG002499, VFG001254, VFG001896, VFG002331
Offensive virulence factors	Adherence	-	Cj1422c	VFG001950
Offensive virulence factors	Adherence	-	trwL1	VFG002250
Offensive virulence factors	Adherence	-	neuC1	VFG001943
Offensive virulence factors	Adherence	-	flhF	VFG001895, VFG001264, VFG002521
Offensive virulence factors	Adherence	-	chpD	VFG001234
Offensive virulence factors	Adherence	-	lifA/efa1	VFG034927
Offensive virulence factors	Adherence	-	ptlF	VFG000022
Offensive virulence factors	Adherence	-	APH_1203*	VFG045434
Offensive virulence factors	Adherence	-	ompU	VFG043487
Offensive virulence factors	Adherence	-	papE	VFG000899, VFG000888
Offensive virulence factors	Adherence	-	yagX/ecpC	VFG002415
Offensive virulence factors	Adherence	-	cif	VFG033772, VFG042218
Offensive virulence factors	Adherence	-	psaF	VFG000350
Offensive virulence factors	Adherence	-	papK	VFG000887, VFG000898
Offensive virulence factors	Adherence	-	kpsF	VFG001971
Offensive virulence factors	Adherence	-	hap	VFG001149
Offensive virulence factors	Adherence	-	APH_1078*	VFG045415
Offensive virulence factors	Adherence	-	APH_0902*	VFG045402
Offensive virulence factors	Adherence	-	APH_1154*	VFG045426
Offensive virulence factors	Adherence	-	fimZ	VFG000449
Offensive virulence factors	Adherence	-	fctA	VFG042968
Offensive virulence factors	Adherence	-	trwI1	VFG002261
Offensive virulence factors	Adherence	-	sinH	VFG002307
Offensive virulence factors	Adherence	-	gbs0630	VFG005283
Offensive virulence factors	Adherence	-	map	VFG001799, VFG000806
Offensive virulence factors	Adherence	-	fbsB	VFG005215
Offensive virulence factors	Adherence	-	APH_1226*	VFG045435
Offensive virulence factors	Adherence	-	p44-79	VFG045386
Offensive virulence factors	Adherence	-	srtC-3/srtD	VFG005310
Offensive virulence factors	Adherence	-	rck	VFG000442
Offensive virulence factors	Adherence	-	APH_1343*	VFG045453
Offensive virulence factors	Adherence	-	bfpI	VFG000759
Offensive virulence factors	Adherence	-	gbs0628	VFG005277
Offensive virulence factors	Adherence	-	bfpH	VFG000758
Offensive virulence factors	Adherence	-	fbpA	VFG002160, VFG001205
Offensive virulence factors	Adherence	-	APH_1125	VFG045367
Offensive virulence factors	Adherence	-	virB10	VFG039039, VFG001978, VFG002217, VFG002239
Offensive virulence factors	Adherence	-	toxB	VFG000845, VFG002288
Offensive virulence factors	Adherence	-	flpC	VFG038545
Offensive virulence factors	Adherence	-	hldD	VFG002028
Offensive virulence factors	Adherence	-	lmb	VFG001330
Offensive virulence factors	Adherence	-	lepA	VFG042967, VFG002098
Offensive virulence factors	Adherence	-	pilL	VFG002308
Offensive virulence factors	Adherence	-	hifB	VFG001145
Offensive virulence factors	Adherence	-	gluE	VFG000314
Offensive virulence factors	Adherence	-	spaF	VFG002204
Offensive virulence factors	Adherence	-	focD	VFG000912
Offensive virulence factors	Adherence	-	APH_1401*	VFG045462
Offensive virulence factors	Adherence	-	emm	VFG000950, VFG000955, VFG000968
Offensive virulence factors	Adherence	-	p216	VFG016472
Offensive virulence factors	Adherence	-	lpxB	VFG000323
Offensive virulence factors	Adherence	-	tcpR	VFG000095
Offensive virulence factors	Adherence	-	yadA	VFG000371
Offensive virulence factors	Adherence	-	Cj1426c	VFG001954
Offensive virulence factors	Adherence	-	APH_0132*	VFG045392
Offensive virulence factors	Adherence	-	adeF	VFG037705
Offensive virulence factors	Adherence	-	p200	VFG002032
Offensive virulence factors	Adherence	-	bfpB	VFG000751
Offensive virulence factors	Adherence	-	mhp385	VFG046119
Offensive virulence factors	Adherence	-	pavA	VFG005197
Offensive virulence factors	Adherence	-	rfaK	VFG000242
Offensive virulence factors	Adherence	-	APH_0174	VFG045357
Offensive virulence factors	Adherence	-	mshE	VFG038590, VFG006962
Offensive virulence factors	Adherence	-	cyaB	VFG001269
Offensive virulence factors	Adherence	-	mshM	VFG038596, VFG006950
Offensive virulence factors	Adherence	-	wzz	VFG000137
Offensive virulence factors	Adherence	-	fimT	VFG001215
Offensive virulence factors	Adherence	-	trwD	VFG002269
Offensive virulence factors	Adherence	-	draA	VFG000942
Offensive virulence factors	Adherence	-	rfbC	VFG001958
Offensive virulence factors	Adherence	-	yagV/ecpE	VFG002417
Offensive virulence factors	Adherence	-	csbA	VFG001438
Offensive virulence factors	Adherence	-	VP1611	VFG045345
Offensive virulence factors	Adherence	-	trwG	VFG002266
Offensive virulence factors	Adherence	-	fhaC	VFG001272
Offensive virulence factors	Adherence	-	waaC	VFG000142, VFG002024
Offensive virulence factors	Adherence	-	sfaC	VFG033377, VFG012327
Offensive virulence factors	Adherence	-	pilS	VFG001213, VFG002430, VFG000226, VFG000228, VFG000227, VFG000229, VFG000225, VFG000223, VFG000224, VFG002315, VFG000222
Offensive virulence factors	Adherence	-	pefB	VFG000436
Offensive virulence factors	Adherence	-	scpB	VFG001797
Offensive virulence factors	Adherence	-	Cj1427c	VFG001955
Offensive virulence factors	Adherence	-	chpC	VFG001233
Offensive virulence factors	Adherence	-	APH_1389*	VFG045457
Offensive virulence factors	Adherence	-	virB4	VFG001981, VFG002211, VFG002233
Offensive virulence factors	Adherence	-	p44-72	VFG045362
Offensive virulence factors	Adherence	-	fcl	VFG001956
Offensive virulence factors	Adherence	-	hldE	VFG002027
Offensive virulence factors	Adherence	-	APH_0953*	VFG045407
Offensive virulence factors	Adherence	-	papH	VFG000894, VFG000883
Offensive virulence factors	Adherence	-	p44-63	VFG045388
Offensive virulence factors	Adherence	-	APH_1324*	VFG045448
Offensive virulence factors	Adherence	-	APH_0936*	VFG045405
Offensive virulence factors	Adherence	-	waaV	VFG001947
Offensive virulence factors	Adherence	-	APH_0145	VFG045353
Offensive virulence factors	Adherence	-	prn	VFG000002
Offensive virulence factors	Adherence	-	Cj1432c	VFG001960
Offensive virulence factors	Adherence	-	bfpL	VFG000762
Offensive virulence factors	Adherence	-	aatA	VFG000867
Offensive virulence factors	Adherence	-	agg3B	VFG000856
Offensive virulence factors	Adherence	-	spaB	VFG002200
Offensive virulence factors	Adherence	-	pilN	VFG001221, VFG002434, VFG002310
Offensive virulence factors	Adherence	-	pefC	VFG000434
Offensive virulence factors	Adherence	-	flpJ	VFG038517
Offensive virulence factors	Adherence	-	aatC	VFG000869
Offensive virulence factors	Adherence	-	sfaY	VFG042389
Offensive virulence factors	Adherence	-	p44-68	VFG045397
Offensive virulence factors	Adherence	-	dnt	VFG000026
Offensive virulence factors	Adherence	-	hmw2B	VFG001155
Offensive virulence factors	Adherence	-	Cj1416c	VFG001989
Offensive virulence factors	Adherence	-	fliM	VFG002335, VFG001893, VFG001256, VFG002491
Offensive virulence factors	Adherence	-	papB	VFG000881, VFG000892
